feedstock_name,pathway_name,fuel_product,scenario_name,transport_distance_km,transport_mode,grid_scenario,ci_total_kg_per_mj,reduction_pct
Corn Stover,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,"Central (80 km truck, current grid)",80,truck,current,0.04283,52.72000
Corn Stover,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,"Near   (40 km truck, current grid)",40,truck,current,0.04247,53.13000
Corn Stover,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,"Far   (160 km truck, current grid)",160,truck,current,0.04357,51.91000
Corn Stover,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,"Rail  (400 km rail,  current grid)",400,rail,current,0.04325,52.26000
Corn Stover,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,Renewable grid (80 km truck),80,truck,renewable,0.04283,52.72000
Corn Stover,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,"Optimistic (40 km, renewable grid)",40,truck,renewable,0.04247,53.13000
Corn Stover,Forestry Residues → FT-SAF (Gasification),SAF,"Central (80 km truck, current grid)",80,truck,current,0.02410,72.61000
Corn Stover,Forestry Residues → FT-SAF (Gasification),SAF,"Near   (40 km truck, current grid)",40,truck,current,0.02384,72.91000
Corn Stover,Forestry Residues → FT-SAF (Gasification),SAF,"Far   (160 km truck, current grid)",160,truck,current,0.02463,72.01000
Corn Stover,Forestry Residues → FT-SAF (Gasification),SAF,"Rail  (400 km rail,  current grid)",400,rail,current,0.02440,72.27000
Corn Stover,Forestry Residues → FT-SAF (Gasification),SAF,Renewable grid (80 km truck),80,truck,renewable,0.02410,72.61000
Corn Stover,Forestry Residues → FT-SAF (Gasification),SAF,"Optimistic (40 km, renewable grid)",40,truck,renewable,0.02384,72.91000
Corn Stover,Sugarcane Bagasse → Cellulosic Ethanol,Ethanol,"Central (80 km truck, current grid)",80,truck,current,0.02275,74.89000
Corn Stover,Sugarcane Bagasse → Cellulosic Ethanol,Ethanol,"Near   (40 km truck, current grid)",40,truck,current,0.02235,75.33000
Corn Stover,Sugarcane Bagasse → Cellulosic Ethanol,Ethanol,"Far   (160 km truck, current grid)",160,truck,current,0.02356,74.00000
Corn Stover,Sugarcane Bagasse → Cellulosic Ethanol,Ethanol,"Rail  (400 km rail,  current grid)",400,rail,current,0.02321,74.38000
Corn Stover,Sugarcane Bagasse → Cellulosic Ethanol,Ethanol,Renewable grid (80 km truck),80,truck,renewable,0.02275,74.89000
Corn Stover,Sugarcane Bagasse → Cellulosic Ethanol,Ethanol,"Optimistic (40 km, renewable grid)",40,truck,renewable,0.02235,75.33000
Switchgrass,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,"Central (80 km truck, current grid)",80,truck,current,0.04146,54.24000
Switchgrass,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,"Near   (40 km truck, current grid)",40,truck,current,0.04111,54.63000
Switchgrass,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,"Far   (160 km truck, current grid)",160,truck,current,0.04215,53.48000
Switchgrass,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,"Rail  (400 km rail,  current grid)",400,rail,current,0.04185,53.81000
Switchgrass,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,Renewable grid (80 km truck),80,truck,renewable,0.04145,54.24000
Switchgrass,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,"Optimistic (40 km, renewable grid)",40,truck,renewable,0.04111,54.63000
Switchgrass,Miscanthus → Cellulosic Ethanol,Ethanol,"Central (80 km truck, current grid)",80,truck,current,0.03792,58.15000
Switchgrass,Miscanthus → Cellulosic Ethanol,Ethanol,"Near   (40 km truck, current grid)",40,truck,current,0.03761,58.49000
Switchgrass,Miscanthus → Cellulosic Ethanol,Ethanol,"Far   (160 km truck, current grid)",160,truck,current,0.03853,57.47000
Switchgrass,Miscanthus → Cellulosic Ethanol,Ethanol,"Rail  (400 km rail,  current grid)",400,rail,current,0.03827,57.76000
Switchgrass,Miscanthus → Cellulosic Ethanol,Ethanol,Renewable grid (80 km truck),80,truck,renewable,0.03791,58.15000
Switchgrass,Miscanthus → Cellulosic Ethanol,Ethanol,"Optimistic (40 km, renewable grid)",40,truck,renewable,0.03761,58.49000
Switchgrass,Soybean Oil → HEFA-SAF,SAF,"Central (80 km truck, current grid)",80,truck,current,0.01019,88.42000
Switchgrass,Soybean Oil → HEFA-SAF,SAF,"Near   (40 km truck, current grid)",40,truck,current,0.01012,88.50000
Switchgrass,Soybean Oil → HEFA-SAF,SAF,"Far   (160 km truck, current grid)",160,truck,current,0.01032,88.27000
