Feedstock,Pathway,Fuel,Stage,CI (kg CO2e/MJ),Share of Total %
Miscanthus,Camelina → HEFA-SAF,SAF,1. Cultivation,0.00037,4.09647
Miscanthus,Camelina → HEFA-SAF,SAF,2. Harvesting,0.00020,2.22442
Miscanthus,Camelina → HEFA-SAF,SAF,3. Transport,0.00014,1.48662
Miscanthus,Camelina → HEFA-SAF,SAF,4. Preprocessing,0.00017,1.89406
Miscanthus,Camelina → HEFA-SAF,SAF,5. Conversion,0.00820,90.29843
Miscanthus,Camelina → HEFA-SAF,SAF,6. Combustion,0.00000,0.00000
Camelina,Camelina → HEFA-SAF,SAF,1. Cultivation,0.00076,8.18456
Camelina,Camelina → HEFA-SAF,SAF,2. Harvesting,0.00020,2.17251
Camelina,Camelina → HEFA-SAF,SAF,3. Transport,0.00014,1.45193
Camelina,Camelina → HEFA-SAF,SAF,4. Preprocessing,0.00000,0.00000
Camelina,Camelina → HEFA-SAF,SAF,5. Conversion,0.00820,88.19101
Camelina,Camelina → HEFA-SAF,SAF,6. Combustion,0.00000,0.00000
Switchgrass,Camelina → HEFA-SAF,SAF,1. Cultivation,0.00086,9.06125
Switchgrass,Camelina → HEFA-SAF,SAF,2. Harvesting,0.00020,2.12587
Switchgrass,Camelina → HEFA-SAF,SAF,3. Transport,0.00014,1.42075
Switchgrass,Camelina → HEFA-SAF,SAF,4. Preprocessing,0.00010,1.09451
Switchgrass,Camelina → HEFA-SAF,SAF,5. Conversion,0.00820,86.29762
Switchgrass,Camelina → HEFA-SAF,SAF,6. Combustion,0.00000,0.00000
Miscanthus,Soybean Oil → HEFA-SAF,SAF,1. Cultivation,0.00037,3.76586
Miscanthus,Soybean Oil → HEFA-SAF,SAF,2. Harvesting,0.00020,2.04666
Miscanthus,Soybean Oil → HEFA-SAF,SAF,3. Transport,0.00013,1.37126
Miscanthus,Soybean Oil → HEFA-SAF,SAF,4. Preprocessing,0.00017,1.73966
Miscanthus,Soybean Oil → HEFA-SAF,SAF,5. Conversion,0.00890,91.07655
Miscanthus,Soybean Oil → HEFA-SAF,SAF,6. Combustion,0.00000,0.00000
Corn Grain,Camelina → HEFA-SAF,SAF,1. Cultivation,0.00132,13.25446
Corn Grain,Camelina → HEFA-SAF,SAF,2. Harvesting,0.00020,2.02527
Corn Grain,Camelina → HEFA-SAF,SAF,3. Transport,0.00014,1.35352
Corn Grain,Camelina → HEFA-SAF,SAF,4. Preprocessing,0.00012,1.15300
Corn Grain,Camelina → HEFA-SAF,SAF,5. Conversion,0.00820,82.21376
Corn Grain,Camelina → HEFA-SAF,SAF,6. Combustion,0.00000,0.00000
Camelina,Soybean Oil → HEFA-SAF,SAF,1. Cultivation,0.00075,7.53980
Camelina,Soybean Oil → HEFA-SAF,SAF,2. Harvesting,0.00020,2.00260
Camelina,Soybean Oil → HEFA-SAF,SAF,3. Transport,0.00013,1.34174
Camelina,Soybean Oil → HEFA-SAF,SAF,4. Preprocessing,0.00000,0.00000
Camelina,Soybean Oil → HEFA-SAF,SAF,5. Conversion,0.00890,89.11585
Camelina,Soybean Oil → HEFA-SAF,SAF,6. Combustion,0.00000,0.00000
Switchgrass,Soybean Oil → HEFA-SAF,SAF,1. Cultivation,0.00085,8.36278
Switchgrass,Soybean Oil → HEFA-SAF,SAF,2. Harvesting,0.00020,1.96309
Switchgrass,Soybean Oil → HEFA-SAF,SAF,3. Transport,0.00013,1.31527
Switchgrass,Soybean Oil → HEFA-SAF,SAF,4. Preprocessing,0.00010,1.00118
Switchgrass,Soybean Oil → HEFA-SAF,SAF,5. Conversion,0.00890,87.35768
Switchgrass,Soybean Oil → HEFA-SAF,SAF,6. Combustion,0.00000,0.00000
Soybean Oil,Camelina → HEFA-SAF,SAF,1. Cultivation,0.00163,15.96129
Soybean Oil,Camelina → HEFA-SAF,SAF,2. Harvesting,0.00020,1.97439
Soybean Oil,Camelina → HEFA-SAF,SAF,3. Transport,0.00014,1.31952
Soybean Oil,Camelina → HEFA-SAF,SAF,4. Preprocessing,0.00006,0.59623
Soybean Oil,Camelina → HEFA-SAF,SAF,5. Conversion,0.00820,80.14857
Soybean Oil,Camelina → HEFA-SAF,SAF,6. Combustion,0.00000,0.00000
Corn Grain,Soybean Oil → HEFA-SAF,SAF,1. Cultivation,0.00131,12.27593
Corn Grain,Soybean Oil → HEFA-SAF,SAF,2. Harvesting,0.00020,1.87705
Corn Grain,Soybean Oil → HEFA-SAF,SAF,3. Transport,0.00013,1.25763
Corn Grain,Soybean Oil → HEFA-SAF,SAF,4. Preprocessing,0.00011,1.06053
