Feedstock,Pathway,Fuel,CI Cultivation,CI Harvesting,CI Transport,CI Preprocessing,CI Conversion,CI Combustion,CI Total (kg CO2e/MJ),Fossil Baseline,GHG Reduction %
Miscanthus,Camelina → HEFA-SAF,SAF,0.00037,0.00020,0.00014,0.00017,0.00820,0.00000,0.00908,0.08800,89.68000
Camelina,Camelina → HEFA-SAF,SAF,0.00076,0.00020,0.00014,0.00000,0.00820,0.00000,0.00930,0.08800,89.43000
Switchgrass,Camelina → HEFA-SAF,SAF,0.00086,0.00020,0.00014,0.00010,0.00820,0.00000,0.00950,0.08800,89.20000
Miscanthus,Soybean Oil → HEFA-SAF,SAF,0.00037,0.00020,0.00013,0.00017,0.00890,0.00000,0.00977,0.08800,88.90000
Corn Grain,Camelina → HEFA-SAF,SAF,0.00132,0.00020,0.00014,0.00012,0.00820,0.00000,0.00997,0.08800,88.67000
Camelina,Soybean Oil → HEFA-SAF,SAF,0.00075,0.00020,0.00013,0.00000,0.00890,0.00000,0.00999,0.08800,88.65000
Switchgrass,Soybean Oil → HEFA-SAF,SAF,0.00085,0.00020,0.00013,0.00010,0.00890,0.00000,0.01019,0.08800,88.42000
Soybean Oil,Camelina → HEFA-SAF,SAF,0.00163,0.00020,0.00014,0.00006,0.00820,0.00000,0.01023,0.08800,88.37000
Corn Grain,Soybean Oil → HEFA-SAF,SAF,0.00131,0.00020,0.00013,0.00011,0.00890,0.00000,0.01065,0.08800,87.89000
Soybean Oil,Soybean Oil → HEFA-SAF,SAF,0.00162,0.00020,0.00013,0.00006,0.00890,0.00000,0.01091,0.08800,87.60000
Algae (Raceway),Camelina → HEFA-SAF,SAF,0.00000,0.00020,0.00014,0.01405,0.00820,0.00000,0.02259,0.08800,74.33000
Municipal Solid Waste,MSW → FT-SAF (Gasification),SAF,0.00000,0.00095,0.00064,0.00166,0.01950,0.00000,0.02275,0.08800,74.15000
Corn Stover,Sugarcane Bagasse → Cellulosic Ethanol,Ethanol,0.00214,0.00120,0.00080,0.00061,0.01800,0.00000,0.02275,0.09060,74.89000
Algae (Raceway),Soybean Oil → HEFA-SAF,SAF,0.00000,0.00020,0.00013,0.01390,0.00890,0.00000,0.02313,0.08800,73.71000
Corn Stover,Forestry Residues → FT-SAF (Gasification),SAF,0.00139,0.00078,0.00052,0.00040,0.02100,0.00000,0.02410,0.08800,72.61000
Forestry Residues,Sugarcane Bagasse → Cellulosic Ethanol,Ethanol,0.00000,0.00120,0.00080,0.00521,0.01800,0.00000,0.02522,0.09060,72.17000
Forestry Residues,Forestry Residues → FT-SAF (Gasification),SAF,0.00000,0.00078,0.00052,0.00340,0.02100,0.00000,0.02571,0.08800,70.79000
Sugarcane Bagasse,Forestry Residues → FT-SAF (Gasification),SAF,0.00072,0.00078,0.00052,0.00544,0.02100,0.00000,0.02847,0.08800,67.65000
Sugarcane Bagasse,Sugarcane Bagasse → Cellulosic Ethanol,Ethanol,0.00110,0.00120,0.00080,0.00834,0.01800,0.00000,0.02944,0.09060,67.51000
Miscanthus,"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,0.00132,0.00071,0.00048,0.00061,0.02980,0.00000,0.03292,0.09060,63.67000
Camelina,"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,0.00269,0.00071,0.00048,0.00000,0.02980,0.00000,0.03369,0.09060,62.82000
Switchgrass,"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,0.00305,0.00071,0.00048,0.00037,0.02980,0.00000,0.03441,0.09060,62.02000
Miscanthus,Miscanthus → Cellulosic Ethanol,Ethanol,0.00169,0.00092,0.00061,0.00078,0.03200,0.00000,0.03600,0.09060,60.26000
Corn Grain,"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,0.00468,0.00071,0.00048,0.00040,0.02980,0.00000,0.03608,0.09060,60.18000
Soybean Oil,"Corn Grain → Ethanol (Dry Mill, NG)",Ethanol,0.00578,0.00071,0.00048,0.00021,0.02980,0.00000,0.03699,0.09060,59.18000
Camelina,Miscanthus → Cellulosic Ethanol,Ethanol,0.00346,0.00092,0.00061,0.00000,0.03200,0.00000,0.03699,0.09060,59.17000
Switchgrass,Miscanthus → Cellulosic Ethanol,Ethanol,0.00391,0.00092,0.00061,0.00047,0.03200,0.00000,0.03792,0.09060,58.15000
